Pos,Team,Pos_1,Column1,played,points,wins,drawn,lost,byes,for,against,diff.,home,away,form,Next
1,,1,Panthers,7,12,6,0,1,0,229,94,135,3 - 0,3 - 1,4 - 1,Knights
2,,2,Warriors,7,10,5,0,2,0,222,138,84,3 - 1,2 - 1,3 - 2,Dolphins
3,,3,Wests Tigers,6,10,4,0,2,1,176,113,63,2 - 1,2 - 1,3 - 2,Raiders
4,,4,Rabbitohs,6,10,4,0,2,1,174,144,30,3 - 1,1 - 1,3 - 1,Storm
5,,5,Roosters,6,10,4,0,2,1,153,162,-9,2 - 1,2 - 1,3 - 1,Dragons
6,,6,Sea Eagles,6,8,3,0,3,1,178,140,38,0 - 3,3 - 0,3 - 1,Eels
7,,7,Sharks,6,8,3,0,3,1,158,152,6,2 - 2,1 - 1,2 - 2,Cowboys
8,,8,Knights,7,8,4,0,3,0,178,180,-2,2 - 1,2 - 2,2 - 3,Panthers
9,,9,Broncos,7,8,4,0,3,0,154,159,-5,1 - 3,3 - 0,4 - 1,Bulldogs
10,,10,Bulldogs,6,8,3,0,3,1,121,134,-13,2 - 1,1 - 2,2 - 3,Broncos
11,,11,Cowboys,7,8,4,0,3,0,165,181,-16,2 - 1,2 - 2,4 - 1,Sharks
12,,12,Dolphins,6,6,2,0,4,1,138,165,-27,1 - 3,1 - 1,1 - 3,Warriors
13,,13,Titans,7,6,2,0,5,1,146,176,-30,1 - 1,1 - 4,2 - 3,BYE
14,,14,Raiders,7,6,3,0,4,0,141,204,-63,1 - 2,2 - 2,2 - 3,Wests Tigers
15,,15,Eels,7,6,3,0,4,0,162,246,-84,2 - 2,1 - 2,2 - 3,Sea Eagles
16,,16,Storm,7,4,2,0,5,0,182,184,-2,1 - 2,1 - 3,0 - 5,Rabbitohs
17,,17,Dragons,7,0,0,0,7,0,98,203,-105,0 - 3,0 - 4,0 - 5,Roosters
